Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
1,21682,J. Taylor,23.5,332,1811,5.45,18,53,40,360,2,68.56,70.77,37.65,1,62.34,1,6.07,13.25,28.31,57.83
2,19798,N. Chubb,26.5,228,1259,5.52,8,25,20,174,1,51.71,58.29,15.35,1,84.64,1,6.98,28.07,44.73,25.87
3,18858,J. Mixon,26,292,1205,4.12,13,48,42,314,3,67.57,74.88,25.34,1,74.65,1,6.69,17.8,34.93,47.26
4,21768,N. Harris,24.3,307,1200,3.9,7,94,74,467,3,84.45,86.42,52.44,1,46.57,1,6.52,16.93,29.64,50.81
5,18872,D. Cook,26.9,249,1159,4.65,6,49,34,224,0,70.49,79.67,18.07,1,81.92,1,6.87,20.88,46.18,32.53
6,21861,A. Gibson,24,258,1037,4.01,7,52,42,294,3,56.28,62.62,59.68,1,40.31,1,6.1,5.42,32.55,62.01
7,17923,E. Elliott,27,237,1002,4.22,10,65,47,287,2,65.88,57.74,28.69,1,71.3,1,6.78,24.05,35.86,38.81
8,22535,E. Mitchell,24.2,207,963,4.65,5,20,19,137,1,64.23,80.78,25.6,1,74.39,1,6.72,13.04,56.03,29.95
9,17959,D. Henry,28.5,219,937,4.27,10,20,18,154,0,70.92,85.66,12.78,1,87.21,1,6.43,24.2,31.5,42.92
10,20790,D. Harris,25.4,202,929,4.59,15,20,18,132,0,42.88,48.68,13.36,1,86.63,1,6.05,7.92,28.71,61.38
11,16776,M. Gordon III,29.2,203,919,4.52,8,39,28,213,2,52.03,51.48,25.61,1,74.38,1,5.78,5.91,24.13,68.47
12,19562,A. Ekeler,27.1,206,911,4.42,12,94,70,647,8,67.1,67.41,34.46,1,65.53,1,6.65,19.9,37.37,41.74
